esr-tmp_freq, esr-tmp_data
2.500000000000000000e+09, -1.700000000000000122e-02
2.501000000000000000e+09, -5.500000000000000028e-02
2.502000000000000000e+09, -9.600000000000001588e-02
2.503000000000000000e+09, -1.410000000000000142e-01
2.504000000000000000e+09, -1.370000000000000107e-01
2.505000000000000000e+09, -1.370000000000000107e-01
2.506000000000000000e+09, -1.499999999999999944e-01
2.507000000000000000e+09, -1.040000000000000091e-01
2.508000000000000000e+09, -9.100000000000001144e-02
2.509000000000000000e+09, -9.900000000000000466e-02
2.510000000000000000e+09, -1.179999999999999938e-01
2.511000000000000000e+09, -1.330000000000000071e-01
2.512000000000000000e+09, -1.529999999999999971e-01
2.513000000000000000e+09, -1.370000000000000107e-01
2.514000000000000000e+09, -1.410000000000000142e-01
2.515000000000000000e+09, -1.079999999999999988e-01
2.516000000000000000e+09, -1.109999999999999876e-01
2.517000000000000000e+09, -1.239999999999999991e-01
2.518000000000000000e+09, -1.229999999999999982e-01
2.519000000000000000e+09, -1.169999999999999929e-01
2.520000000000000000e+09, -1.400000000000000133e-01
2.521000000000000000e+09, -1.270000000000000018e-01
2.522000000000000000e+09, -1.360000000000000098e-01
2.523000000000000000e+09, -1.270000000000000018e-01
2.524000000000000000e+09, -1.650000000000000078e-01
2.525000000000000000e+09, -1.420000000000000151e-01
2.526000000000000000e+09, -1.600000000000000033e-01
2.527000000000000000e+09, -1.430000000000000160e-01
2.528000000000000000e+09, -1.660000000000000087e-01
2.529000000000000000e+09, -1.710000000000000131e-01
2.530000000000000000e+09, -1.459999999999999909e-01
2.531000000000000000e+09, -1.400000000000000133e-01
2.532000000000000000e+09, -1.509999999999999953e-01
2.533000000000000000e+09, -1.149999999999999911e-01
2.534000000000000000e+09, -9.199999999999999845e-02
2.535000000000000000e+09, -5.699999999999999512e-02
2.536000000000000000e+09, -7.499999999999999722e-02
2.537000000000000000e+09, -1.049999999999999822e-01
2.538000000000000000e+09, -1.239999999999999991e-01
2.539000000000000000e+09, -1.440000000000000169e-01
2.540000000000000000e+09, -1.129999999999999893e-01
2.541000000000000000e+09, -1.150000000000000050e-01
2.542000000000000000e+09, -6.600000000000000311e-02
2.543000000000000000e+09, -1.229999999999999982e-01
2.544000000000000000e+09, -1.209999999999999964e-01
2.545000000000000000e+09, -1.120000000000000023e-01
2.546000000000000000e+09, -9.900000000000000466e-02
2.547000000000000000e+09, -1.070000000000000118e-01
2.548000000000000000e+09, -8.200000000000000344e-02
2.549000000000000000e+09, -8.900000000000000966e-02
2.550000000000000000e+09, -1.209999999999999964e-01
2.551000000000000000e+09, -1.330000000000000071e-01
2.552000000000000000e+09, -1.469999999999999918e-01
2.553000000000000000e+09, -1.690000000000000113e-01
2.554000000000000000e+09, -1.340000000000000080e-01
2.555000000000000000e+09, -1.109999999999999876e-01
2.556000000000000000e+09, -1.010000000000000064e-01
2.557000000000000000e+09, -1.310000000000000053e-01
2.558000000000000000e+09, -1.420000000000000151e-01
2.559000000000000000e+09, -1.610000000000000042e-01
2.560000000000000000e+09, -1.509999999999999953e-01
2.561000000000000000e+09, -1.189999999999999947e-01
2.562000000000000000e+09, -1.460000000000000187e-01
2.563000000000000000e+09, -1.420000000000000151e-01
2.564000000000000000e+09, -1.420000000000000151e-01
2.565000000000000000e+09, -1.610000000000000042e-01
2.566000000000000000e+09, -1.769999999999999907e-01
2.567000000000000000e+09, -1.199999999999999956e-01
2.568000000000000000e+09, -1.089999999999999858e-01
2.569000000000000000e+09, -1.199999999999999956e-01
2.570000000000000000e+09, -1.119999999999999885e-01
2.571000000000000000e+09, -1.179999999999999938e-01
2.572000000000000000e+09, -1.450000000000000178e-01
2.573000000000000000e+09, -1.350000000000000089e-01
2.574000000000000000e+09, -1.640000000000000069e-01
2.575000000000000000e+09, -1.360000000000000098e-01
2.576000000000000000e+09, -1.219999999999999973e-01
2.577000000000000000e+09, -1.370000000000000107e-01
2.578000000000000000e+09, -9.900000000000000466e-02
2.579000000000000000e+09, -9.299999999999999933e-02
2.580000000000000000e+09, -1.480000000000000204e-01
2.581000000000000000e+09, -1.429999999999999882e-01
2.582000000000000000e+09, -1.320000000000000062e-01
2.583000000000000000e+09, -1.189999999999999947e-01
2.584000000000000000e+09, -1.549999999999999989e-01
2.585000000000000000e+09, -1.320000000000000062e-01
2.586000000000000000e+09, -1.119999999999999885e-01
2.587000000000000000e+09, -1.350000000000000089e-01
2.588000000000000000e+09, -9.800000000000000377e-02
2.589000000000000000e+09, -1.050000000000000100e-01
2.590000000000000000e+09, -1.119999999999999885e-01
2.591000000000000000e+09, -8.700000000000000788e-02
2.592000000000000000e+09, -1.020000000000000073e-01
2.593000000000000000e+09, -8.499999999999999223e-02
2.594000000000000000e+09, -7.699999999999999900e-02
2.595000000000000000e+09, -6.899999999999999190e-02
2.596000000000000000e+09, -2.100000000000000130e-02
2.597000000000000000e+09, -3.499999999999999639e-02
2.598000000000000000e+09, -4.100000000000000172e-02
2.599000000000000000e+09, -8.000000000000000167e-03
2.600000000000000000e+09, -1.499999999999999944e-02
2.601000000000000000e+09, -3.000000000000000062e-03
2.602000000000000000e+09, -4.100000000000000172e-02
2.603000000000000000e+09, -6.400000000000000133e-02
2.604000000000000000e+09, -4.700000000000000011e-02
2.605000000000000000e+09, -5.200000000000000455e-02
2.606000000000000000e+09, -5.999999999999999778e-02
2.607000000000000000e+09, -5.100000000000000366e-02
2.608000000000000000e+09, -4.900000000000000189e-02
2.609000000000000000e+09, -9.700000000000000289e-02
2.610000000000000000e+09, -9.400000000000000022e-02
2.611000000000000000e+09, -1.069999999999999840e-01
2.612000000000000000e+09, -1.189999999999999947e-01
2.613000000000000000e+09, -9.800000000000000377e-02
2.614000000000000000e+09, -4.700000000000000011e-02
2.615000000000000000e+09, -8.000000000000000167e-02
2.616000000000000000e+09, -6.400000000000000133e-02
2.617000000000000000e+09, -1.150000000000000050e-01
2.618000000000000000e+09, -1.089999999999999858e-01
2.619000000000000000e+09, -9.299999999999999933e-02
2.620000000000000000e+09, -6.999999999999999278e-02
2.621000000000000000e+09, -9.900000000000000466e-02
2.622000000000000000e+09, -1.099999999999999867e-01
2.623000000000000000e+09, -8.999999999999999667e-02
2.624000000000000000e+09, -1.119999999999999885e-01
2.625000000000000000e+09, -1.519999999999999962e-01
2.626000000000000000e+09, -1.239999999999999991e-01
2.627000000000000000e+09, -9.299999999999999933e-02
2.628000000000000000e+09, -5.399999999999999939e-02
2.629000000000000000e+09, -6.500000000000000222e-02
2.630000000000000000e+09, -8.000000000000000167e-02
2.631000000000000000e+09, -7.900000000000000078e-02
2.632000000000000000e+09, -5.200000000000000455e-02
2.633000000000000000e+09, -7.499999999999999722e-02
2.634000000000000000e+09, -8.300000000000000433e-02
2.635000000000000000e+09, -6.099999999999999867e-02
2.636000000000000000e+09, -9.000000000000001055e-02
2.637000000000000000e+09, -6.999999999999999278e-02
2.638000000000000000e+09, -1.900000000000000300e-02
2.639000000000000000e+09, -1.200000000000000025e-02
2.640000000000000000e+09, -1.700000000000000122e-02
2.641000000000000000e+09, 8.000000000000000167e-03
2.642000000000000000e+09, 2.300000000000000308e-02
2.643000000000000000e+09, 9.600000000000000200e-02
2.644000000000000000e+09, 1.720000000000000140e-01
2.645000000000000000e+09, 2.269999999999999796e-01
2.646000000000000000e+09, 3.460000000000000298e-01
2.647000000000000000e+09, 5.050000000000000044e-01
2.648000000000000000e+09, 7.090000000000000746e-01
2.649000000000000000e+09, 9.720000000000000862e-01
2.650000000000000000e+09, 1.289000000000000146e+00
2.651000000000000000e+09, 1.667000000000000259e+00
2.652000000000000000e+09, 2.068999999999999950e+00
2.653000000000000000e+09, 2.517999999999999794e+00
2.654000000000000000e+09, 2.863999999999999879e+00
2.655000000000000000e+09, 3.263000000000000345e+00
2.656000000000000000e+09, 3.503000000000000114e+00
2.657000000000000000e+09, 3.704000000000000181e+00
2.658000000000000000e+09, 3.802000000000000490e+00
2.659000000000000000e+09, 3.761000000000000121e+00
2.660000000000000000e+09, 3.552999999999999492e+00
2.661000000000000000e+09, 3.179999999999999716e+00
2.662000000000000000e+09, 2.745999999999999996e+00
2.663000000000000000e+09, 2.393999999999999684e+00
2.664000000000000000e+09, 1.943999999999999950e+00
2.665000000000000000e+09, 1.538000000000000034e+00
2.666000000000000000e+09, 1.153999999999999915e+00
2.667000000000000000e+09, 8.470000000000000862e-01
2.668000000000000000e+09, 6.199999999999999956e-01
2.669000000000000000e+09, 4.320000000000000506e-01
2.670000000000000000e+09, 3.109999999999999987e-01
2.671000000000000000e+09, 2.150000000000000244e-01
2.672000000000000000e+09, 1.090000000000000135e-01
2.673000000000000000e+09, 8.600000000000000699e-02
2.674000000000000000e+09, 8.300000000000000433e-02
2.675000000000000000e+09, 2.400000000000000050e-02
2.676000000000000000e+09, -2.699999999999999623e-02
2.677000000000000000e+09, -2.299999999999999961e-02
2.678000000000000000e+09, -5.200000000000000455e-02
2.679000000000000000e+09, -6.000000000000000125e-03
2.680000000000000000e+09, -1.600000000000000033e-02
2.681000000000000000e+09, -9.100000000000001144e-02
2.682000000000000000e+09, -8.900000000000000966e-02
2.683000000000000000e+09, -6.700000000000000400e-02
2.684000000000000000e+09, -8.800000000000000877e-02
2.685000000000000000e+09, -1.120000000000000023e-01
2.686000000000000000e+09, -9.299999999999999933e-02
2.687000000000000000e+09, -1.110000000000000153e-01
2.688000000000000000e+09, -9.400000000000000022e-02
2.689000000000000000e+09, -6.699999999999999012e-02
2.690000000000000000e+09, -4.599999999999999922e-02
2.691000000000000000e+09, -5.899999999999999689e-02
2.692000000000000000e+09, -9.300000000000001321e-02
2.693000000000000000e+09, -1.010000000000000064e-01
2.694000000000000000e+09, -1.079999999999999849e-01
2.695000000000000000e+09, -8.700000000000000788e-02
2.696000000000000000e+09, -8.500000000000000611e-02
2.697000000000000000e+09, -8.400000000000000522e-02
2.698000000000000000e+09, -8.800000000000000877e-02
2.699000000000000000e+09, -7.699999999999999900e-02
2.700000000000000000e+09, -5.400000000000000633e-02
2.701000000000000000e+09, -4.200000000000000261e-02
2.702000000000000000e+09, -5.999999999999999778e-02
2.703000000000000000e+09, -5.200000000000000455e-02
2.704000000000000000e+09, -7.399999999999999634e-02
2.705000000000000000e+09, -9.199999999999999845e-02
2.706000000000000000e+09, -7.499999999999999722e-02
2.707000000000000000e+09, -9.700000000000000289e-02
2.708000000000000000e+09, -6.499999999999998834e-02
2.709000000000000000e+09, -7.900000000000000078e-02
2.710000000000000000e+09, -1.149999999999999911e-01
2.711000000000000000e+09, -6.199999999999999262e-02
2.712000000000000000e+09, -4.200000000000000261e-02
2.713000000000000000e+09, -5.399999999999999245e-02
2.714000000000000000e+09, -7.399999999999999634e-02
2.715000000000000000e+09, -9.299999999999999933e-02
2.716000000000000000e+09, -8.500000000000000611e-02
2.717000000000000000e+09, -5.000000000000000278e-02
2.718000000000000000e+09, -3.399999999999999550e-02
2.719000000000000000e+09, -7.699999999999999900e-02
2.720000000000000000e+09, -5.000000000000000278e-02
2.721000000000000000e+09, -2.899999999999999800e-02
2.722000000000000000e+09, -5.999999999999999778e-02
2.723000000000000000e+09, -5.000000000000000278e-02
2.724000000000000000e+09, -5.500000000000000028e-02
2.725000000000000000e+09, -6.700000000000000400e-02
2.726000000000000000e+09, -4.200000000000000261e-02
2.727000000000000000e+09, -7.399999999999999634e-02
2.728000000000000000e+09, -6.899999999999999190e-02
2.729000000000000000e+09, -7.900000000000000078e-02
2.730000000000000000e+09, -8.700000000000000788e-02
2.731000000000000000e+09, -8.800000000000000877e-02
2.732000000000000000e+09, -9.800000000000000377e-02
2.733000000000000000e+09, -1.229999999999999982e-01
2.734000000000000000e+09, -1.239999999999999991e-01
2.735000000000000000e+09, -1.000000000000000056e-01
2.736000000000000000e+09, -9.500000000000000111e-02
2.737000000000000000e+09, -6.700000000000000400e-02
2.738000000000000000e+09, -8.400000000000000522e-02
2.739000000000000000e+09, -7.399999999999999634e-02
2.740000000000000000e+09, -7.699999999999999900e-02
2.741000000000000000e+09, -8.900000000000000966e-02
2.742000000000000000e+09, -9.500000000000000111e-02
2.743000000000000000e+09, -6.700000000000000400e-02
2.744000000000000000e+09, -1.260000000000000009e-01
2.745000000000000000e+09, -1.159999999999999920e-01
2.746000000000000000e+09, -8.300000000000000433e-02
2.747000000000000000e+09, -3.699999999999999817e-02
2.748000000000000000e+09, -3.899999999999999994e-02
2.749000000000000000e+09, -1.400000000000000203e-02
2.750000000000000000e+09, 1.000000000000000021e-03
2.751000000000000000e+09, 9.000000000000001055e-03
2.752000000000000000e+09, 8.200000000000000344e-02
2.753000000000000000e+09, 1.740000000000000158e-01
2.754000000000000000e+09, 2.720000000000000195e-01
2.755000000000000000e+09, 4.209999999999999298e-01
2.756000000000000000e+09, 5.889999999999999680e-01
2.757000000000000000e+09, 7.300000000000000933e-01
2.758000000000000000e+09, 8.440000000000000835e-01
2.759000000000000000e+09, 9.169999999999998153e-01
2.760000000000000000e+09, 9.210000000000000409e-01
2.761000000000000000e+09, 8.779999999999998916e-01
2.762000000000000000e+09, 7.840000000000000302e-01
2.763000000000000000e+09, 6.430000000000000160e-01
2.764000000000000000e+09, 4.699999999999999734e-01
2.765000000000000000e+09, 3.509999999999999787e-01
2.766000000000000000e+09, 2.389999999999999902e-01
2.767000000000000000e+09, 1.600000000000000033e-01
2.768000000000000000e+09, 1.020000000000000073e-01
2.769000000000000000e+09, 4.099999999999999478e-02
2.770000000000000000e+09, -1.000000000000000021e-03
2.771000000000000000e+09, -2.000000000000000042e-03
2.772000000000000000e+09, 1.000000000000000021e-03
2.773000000000000000e+09, -1.099999999999999936e-02
2.774000000000000000e+09, -6.600000000000000311e-02
2.775000000000000000e+09, -5.999999999999999778e-02
2.776000000000000000e+09, -7.699999999999999900e-02
2.777000000000000000e+09, -7.900000000000000078e-02
2.778000000000000000e+09, -6.799999999999999101e-02
2.779000000000000000e+09, -1.079999999999999849e-01
2.780000000000000000e+09, -1.109999999999999876e-01
2.781000000000000000e+09, -1.109999999999999876e-01
2.782000000000000000e+09, -1.159999999999999920e-01
2.783000000000000000e+09, -8.000000000000000167e-02
