esr-zerofield01_freq, esr-zerofield01_data
2.670000000000000000e+09, -8.640000000000000457e-02
2.671000000000000000e+09, -8.360999999999998988e-02
2.672000000000000000e+09, -8.279999999999999860e-02
2.673000000000000000e+09, -9.174999999999999822e-02
2.674000000000000000e+09, -1.061199999999999921e-01
2.675000000000000000e+09, -1.094699999999999840e-01
2.676000000000000000e+09, -1.031100000000000072e-01
2.677000000000000000e+09, -7.596999999999999587e-02
2.678000000000000000e+09, -7.646000000000000019e-02
2.679000000000000000e+09, -5.462000000000000188e-02
2.680000000000000000e+09, -1.020499999999999879e-01
2.681000000000000000e+09, -1.003700000000000148e-01
2.682000000000000000e+09, -1.035399999999999932e-01
2.683000000000000000e+09, -1.015500000000000014e-01
2.684000000000000000e+09, -7.273999999999999910e-02
2.685000000000000000e+09, -6.978999999999999093e-02
2.686000000000000000e+09, -7.045999999999999486e-02
2.687000000000000000e+09, -8.504999999999998672e-02
2.688000000000000000e+09, -8.766999999999999793e-02
2.689000000000000000e+09, -8.599999999999999312e-02
2.690000000000000000e+09, -9.238999999999999990e-02
2.691000000000000000e+09, -8.851000000000000534e-02
2.692000000000000000e+09, -9.720999999999999086e-02
2.693000000000000000e+09, -8.329999999999999905e-02
2.694000000000000000e+09, -1.016100000000000059e-01
2.695000000000000000e+09, -1.091600000000000070e-01
2.696000000000000000e+09, -9.661999999999999755e-02
2.697000000000000000e+09, -8.075000000000000233e-02
2.698000000000000000e+09, -9.624000000000000610e-02
2.699000000000000000e+09, -1.062700000000000033e-01
2.700000000000000000e+09, -9.561999999999998279e-02
2.701000000000000000e+09, -9.643000000000000183e-02
2.702000000000000000e+09, -9.215000000000000968e-02
2.703000000000000000e+09, -7.338000000000000078e-02
2.704000000000000000e+09, -6.688999999999999113e-02
2.705000000000000000e+09, -3.257000000000000173e-02
2.706000000000000000e+09, -6.540999999999999592e-02
2.707000000000000000e+09, -6.804999999999999938e-02
2.708000000000000000e+09, -6.492000000000000548e-02
2.709000000000000000e+09, -6.561000000000000165e-02
2.710000000000000000e+09, -6.976999999999999869e-02
2.711000000000000000e+09, -8.823000000000000287e-02
2.712000000000000000e+09, -8.064999999999999947e-02
2.713000000000000000e+09, -6.990999999999999992e-02
2.714000000000000000e+09, -1.033799999999999997e-01
2.715000000000000000e+09, -9.725999999999999923e-02
2.716000000000000000e+09, -7.250000000000000888e-02
2.717000000000000000e+09, -6.149999999999999911e-02
2.718000000000000000e+09, -7.197000000000000619e-02
2.719000000000000000e+09, -6.371999999999999886e-02
2.720000000000000000e+09, -5.660000000000000447e-02
2.721000000000000000e+09, -4.333999999999999658e-02
2.722000000000000000e+09, -7.735999999999999821e-02
2.723000000000000000e+09, -5.086000000000000243e-02
2.724000000000000000e+09, -6.251999999999999225e-02
2.725000000000000000e+09, -6.681000000000000827e-02
2.726000000000000000e+09, -6.230999999999999733e-02
2.727000000000000000e+09, -7.660999999999999754e-02
2.728000000000000000e+09, -1.028699999999999892e-01
2.729000000000000000e+09, -6.436999999999999666e-02
2.730000000000000000e+09, -6.345999999999998864e-02
2.731000000000000000e+09, -8.094999999999999418e-02
2.732000000000000000e+09, -8.773000000000000242e-02
2.733000000000000000e+09, -7.744999999999999107e-02
2.734000000000000000e+09, -8.458999999999999853e-02
2.735000000000000000e+09, -1.101899999999999824e-01
2.736000000000000000e+09, -1.218299999999999939e-01
2.737000000000000000e+09, -9.165000000000000924e-02
2.738000000000000000e+09, -7.511000000000001009e-02
2.739000000000000000e+09, -6.219999999999999835e-02
2.740000000000000000e+09, -5.662000000000000366e-02
2.741000000000000000e+09, -7.434999999999999942e-02
2.742000000000000000e+09, -8.293999999999999984e-02
2.743000000000000000e+09, -5.969000000000000000e-02
2.744000000000000000e+09, -6.617000000000000659e-02
2.745000000000000000e+09, -7.764999999999999680e-02
2.746000000000000000e+09, -8.280999999999999472e-02
2.747000000000000000e+09, -3.614000000000000545e-02
2.748000000000000000e+09, -2.903000000000000025e-02
2.749000000000000000e+09, -3.479000000000000148e-02
